"orgId","type of session","number","date","notBefore","notAfter","persId","chairman","spId","uId","titleId","taxonomyIds","topicIds","lemma","ana"
"parl.Skup","seja",35,"1992-06-10","10:15:00","12:47:00","BucarFrance1923",1,"VsiZbor.1992-06-10.s035-01.sp-2","VsiZbor.1992-06-10.s035-01.sp-2.2",VsiZbor.1992-06-10.s035-01.toc-item1,"taxonomy.2.8","topic.50","spoštovan","Appfpn"
"parl.Skup","seja",35,"1992-06-10","10:15:00","12:47:00","BucarFrance1923",1,"VsiZbor.1992-06-10.s035-01.sp-2","VsiZbor.1992-06-10.s035-01.sp-2.2",VsiZbor.1992-06-10.s035-01.toc-item1,"taxonomy.2.8","topic.50","poslanka","Ncfpn"
"parl.Skup","seja",35,"1992-06-10","10:15:00","12:47:00","BucarFrance1923",1,"VsiZbor.1992-06-10.s035-01.sp-2","VsiZbor.1992-06-10.s035-01.sp-2.2",VsiZbor.1992-06-10.s035-01.toc-item1,"taxonomy.2.8","topic.50","in","Cc"
"parl.Skup","seja",35,"1992-06-10","10:15:00","12:47:00","BucarFrance1923",1,"VsiZbor.1992-06-10.s035-01.sp-2","VsiZbor.1992-06-10.s035-01.sp-2.2",VsiZbor.1992-06-10.s035-01.toc-item1,"taxonomy.2.8","topic.50","poslanec","Ncmpn"
"parl.Skup","seja",35,"1992-06-10","10:15:00","12:47:00","BucarFrance1923",1,"VsiZbor.1992-06-10.s035-01.sp-2","VsiZbor.1992-06-10.s035-01.sp-2.2",VsiZbor.1992-06-10.s035-01.toc-item1,"taxonomy.2.8","topic.50","začenjati","Vmpr1s"
"parl.Skup","seja",35,"1992-06-10","10:15:00","12:47:00","BucarFrance1923",1,"VsiZbor.1992-06-10.s035-01.sp-2","VsiZbor.1992-06-10.s035-01.sp-2.2",VsiZbor.1992-06-10.s035-01.toc-item1,"taxonomy.2.8","topic.50","35.","Mdo"
"parl.Skup","seja",35,"1992-06-10","10:15:00","12:47:00","BucarFrance1923",1,"VsiZbor.1992-06-10.s035-01.sp-2","VsiZbor.1992-06-10.s035-01.sp-2.2",VsiZbor.1992-06-10.s035-01.toc-item1,"taxonomy.2.8","topic.50","skupen","Agpfsa"
"parl.Skup","seja",35,"1992-06-10","10:15:00","12:47:00","BucarFrance1923",1,"VsiZbor.1992-06-10.s035-01.sp-2","VsiZbor.1992-06-10.s035-01.sp-2.2",VsiZbor.1992-06-10.s035-01.toc-item1,"taxonomy.2.8","topic.50","seja","Ncfsa"
"parl.Skup","seja",35,"1992-06-10","10:15:00","12:47:00","BucarFrance1923",1,"VsiZbor.1992-06-10.s035-01.sp-2","VsiZbor.1992-06-10.s035-01.sp-2.2",VsiZbor.1992-06-10.s035-01.toc-item1,"taxonomy.2.8","topic.50","ves","Pg-mpg"
"parl.Skup","seja",35,"1992-06-10","10:15:00","12:47:00","BucarFrance1923",1,"VsiZbor.1992-06-10.s035-01.sp-2","VsiZbor.1992-06-10.s035-01.sp-2.2",VsiZbor.1992-06-10.s035-01.toc-item1,"taxonomy.2.8","topic.50","zbor","Ncmpg"
"parl.Skup","seja",35,"1992-06-10","10:15:00","12:47:00","BucarFrance1923",1,"VsiZbor.1992-06-10.s035-01.sp-2","VsiZbor.1992-06-10.s035-01.sp-2.2",VsiZbor.1992-06-10.s035-01.toc-item1,"taxonomy.2.8","topic.50","skupščina","Ncfsg"
"parl.Skup","seja",35,"1992-06-10","10:15:00","12:47:00","BucarFrance1923",1,"VsiZbor.1992-06-10.s035-01.sp-2","VsiZbor.1992-06-10.s035-01.sp-2.2",VsiZbor.1992-06-10.s035-01.toc-item1,"taxonomy.2.8","topic.50","republika","Ncfsg"
"parl.Skup","seja",35,"1992-06-10","10:15:00","12:47:00","BucarFrance1923",1,"VsiZbor.1992-06-10.s035-01.sp-2","VsiZbor.1992-06-10.s035-01.sp-2.2",VsiZbor.1992-06-10.s035-01.toc-item1,"taxonomy.2.8","topic.50","Slovenija","Npfsg"
"parl.Skup","seja",35,"1992-06-10","10:15:00","12:47:00","BucarFrance1923",1,"VsiZbor.1992-06-10.s035-01.sp-2","VsiZbor.1992-06-10.s035-01.sp-2.2",VsiZbor.1992-06-10.s035-01.toc-item1,"taxonomy.2.8","topic.50","ki","Cs"
"parl.Skup","seja",35,"1992-06-10","10:15:00","12:47:00","BucarFrance1923",1,"VsiZbor.1992-06-10.s035-01.sp-2","VsiZbor.1992-06-10.s035-01.sp-2.2",VsiZbor.1992-06-10.s035-01.toc-item1,"taxonomy.2.8","topic.50","biti","Va-r3s-n"
"parl.Skup","seja",35,"1992-06-10","10:15:00","12:47:00","BucarFrance1923",1,"VsiZbor.1992-06-10.s035-01.sp-2","VsiZbor.1992-06-10.s035-01.sp-2.2",VsiZbor.1992-06-10.s035-01.toc-item1,"taxonomy.2.8","topic.50","sklican","Appfsn"
"parl.Skup","seja",35,"1992-06-10","10:15:00","12:47:00","BucarFrance1923",1,"VsiZbor.1992-06-10.s035-01.sp-2","VsiZbor.1992-06-10.s035-01.sp-2.2",VsiZbor.1992-06-10.s035-01.toc-item1,"taxonomy.2.8","topic.50","na","Sl"
"parl.Skup","seja",35,"1992-06-10","10:15:00","12:47:00","BucarFrance1923",1,"VsiZbor.1992-06-10.s035-01.sp-2","VsiZbor.1992-06-10.s035-01.sp-2.2",VsiZbor.1992-06-10.s035-01.toc-item1,"taxonomy.2.8","topic.50","podlaga","Ncfsl"
"parl.Skup","seja",35,"1992-06-10","10:15:00","12:47:00","BucarFrance1923",1,"VsiZbor.1992-06-10.s035-01.sp-2","VsiZbor.1992-06-10.s035-01.sp-2.2",VsiZbor.1992-06-10.s035-01.toc-item1,"taxonomy.2.8","topic.50","194.","Mdo"
"parl.Skup","seja",35,"1992-06-10","10:15:00","12:47:00","BucarFrance1923",1,"VsiZbor.1992-06-10.s035-01.sp-2","VsiZbor.1992-06-10.s035-01.sp-2.2",VsiZbor.1992-06-10.s035-01.toc-item1,"taxonomy.2.8","topic.50","člen","Ncmsg"
"parl.Skup","seja",35,"1992-06-10","10:15:00","12:47:00","BucarFrance1923",1,"VsiZbor.1992-06-10.s035-01.sp-2","VsiZbor.1992-06-10.s035-01.sp-2.2",VsiZbor.1992-06-10.s035-01.toc-item1,"taxonomy.2.8","topic.50","poslovnik","Ncmsg"
"parl.Skup","seja",35,"1992-06-10","10:15:00","12:47:00","BucarFrance1923",1,"VsiZbor.1992-06-10.s035-01.sp-2","VsiZbor.1992-06-10.s035-01.sp-2.2",VsiZbor.1992-06-10.s035-01.toc-item1,"taxonomy.2.8","topic.50","skupščina","Ncfsg"
"parl.Skup","seja",35,"1992-06-10","10:15:00","12:47:00","BucarFrance1923",1,"VsiZbor.1992-06-10.s035-01.sp-2","VsiZbor.1992-06-10.s035-01.sp-2.2",VsiZbor.1992-06-10.s035-01.toc-item1,"taxonomy.2.8","topic.50","republika","Ncfsg"
"parl.Skup","seja",35,"1992-06-10","10:15:00","12:47:00","BucarFrance1923",1,"VsiZbor.1992-06-10.s035-01.sp-2","VsiZbor.1992-06-10.s035-01.sp-2.2",VsiZbor.1992-06-10.s035-01.toc-item1,"taxonomy.2.8","topic.50","Slovenija","Npfsg"
"parl.Skup","seja",35,"1992-06-10","10:15:00","12:47:00","BucarFrance1923",1,"VsiZbor.1992-06-10.s035-01.sp-2","VsiZbor.1992-06-10.s035-01.sp-2.2",VsiZbor.1992-06-10.s035-01.toc-item1,"taxonomy.2.8","topic.50","preden","Cs"
"parl.Skup","seja",35,"1992-06-10","10:15:00","12:47:00","BucarFrance1923",1,"VsiZbor.1992-06-10.s035-01.sp-2","VsiZbor.1992-06-10.s035-01.sp-2.2",VsiZbor.1992-06-10.s035-01.toc-item1,"taxonomy.2.8","topic.50","začeti","Vmer1p"
"parl.Skup","seja",35,"1992-06-10","10:15:00","12:47:00","BucarFrance1923",1,"VsiZbor.1992-06-10.s035-01.sp-2","VsiZbor.1992-06-10.s035-01.sp-2.2",VsiZbor.1992-06-10.s035-01.toc-item1,"taxonomy.2.8","topic.50","morati","Vmpr1p"
"parl.Skup","seja",35,"1992-06-10","10:15:00","12:47:00","BucarFrance1923",1,"VsiZbor.1992-06-10.s035-01.sp-2","VsiZbor.1992-06-10.s035-01.sp-2.2",VsiZbor.1992-06-10.s035-01.toc-item1,"taxonomy.2.8","topic.50","ugotoviti","Vmen"
"parl.Skup","seja",35,"1992-06-10","10:15:00","12:47:00","BucarFrance1923",1,"VsiZbor.1992-06-10.s035-01.sp-2","VsiZbor.1992-06-10.s035-01.sp-2.2",VsiZbor.1992-06-10.s035-01.toc-item1,"taxonomy.2.8","topic.50","sklepčnost","Ncfsa"
"parl.Skup","seja",35,"1992-06-10","10:15:00","12:47:00","BucarFrance1923",1,"VsiZbor.1992-06-10.s035-01.sp-2","VsiZbor.1992-06-10.s035-01.sp-2.2",VsiZbor.1992-06-10.s035-01.toc-item1,"taxonomy.2.8","topic.50","prositi","Vmpr1s"
"parl.Skup","seja",35,"1992-06-10","10:15:00","12:47:00","BucarFrance1923",1,"VsiZbor.1992-06-10.s035-01.sp-2","VsiZbor.1992-06-10.s035-01.sp-2.2",VsiZbor.1992-06-10.s035-01.toc-item1,"taxonomy.2.8","topic.50","poslanec","Ncmpa"
"parl.Skup","seja",35,"1992-06-10","10:15:00","12:47:00","BucarFrance1923",1,"VsiZbor.1992-06-10.s035-01.sp-2","VsiZbor.1992-06-10.s035-01.sp-2.2",VsiZbor.1992-06-10.s035-01.toc-item1,"taxonomy.2.8","topic.50","družbenopolitičen","Agpmsg"
"parl.Skup","seja",35,"1992-06-10","10:15:00","12:47:00","BucarFrance1923",1,"VsiZbor.1992-06-10.s035-01.sp-2","VsiZbor.1992-06-10.s035-01.sp-2.2",VsiZbor.1992-06-10.s035-01.toc-item1,"taxonomy.2.8","topic.50","zbor","Ncmsg"
